DATO,DISTRIKTSTYPE,Bydel,Born,Famtype,Antal,FAMTYP
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,3,132
20160331,Bydele,Indre By,Familier med over 3 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,31,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,1,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,42,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,128,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,121,121
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,13,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,9,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,3,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,4,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,5,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,7,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,4,162
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,3,132
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,16,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,1,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,33,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,242,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,313,121
20160331,Bydele,Indre By,Familier uden børn,Ikke hjemmeboende børn,2,183
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,7,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,5,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,1,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,7,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,7,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,8,162
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,7,122
20160331,Bydele,Indre By,Familier med 3 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,1,131
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,3,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,4,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,3,121
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,1,132
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,20,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,1,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,39,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,197,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,138,121
20160331,Bydele,Indre By,Familier uden børn,Ikke hjemmeboende børn,2,183
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,11,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,8,162
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,3,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,5,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,5,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,5,122
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,2,132
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med over 3 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,23,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,1,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,23,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,128,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,128,121
20160331,Bydele,Indre By,Familier uden børn,Ikke hjemmeboende børn,3,183
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,13,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,3,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,3,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,4,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,10,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,3,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,3,122
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,3,132
20160331,Bydele,Indre By,Familier med over 3 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,37,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,5,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,29,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,135,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,158,121
20160331,Bydele,Indre By,Familier uden børn,Ikke hjemmeboende børn,3,183
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,12,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,8,162
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,2,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,9,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,9,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig mand,1,112
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,4,122
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,3,132
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med 3 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,48,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,5,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,57,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,192,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,163,121
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,10,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,11,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,2,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,5,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,12,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,7,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,3,162
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig mand,2,112
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,2,132
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med over 3 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,16,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,4,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,12,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,48,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,47,121
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,1,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,3,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,2,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,3,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,2,162
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,2,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,29,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,3,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,37,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,177,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,168,121
20160331,Bydele,Indre By,Familier uden børn,Ikke hjemmeboende børn,1,183
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,3,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,6,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,2,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,1,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,7,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,5,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,3,162
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,5,122
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,2,132
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,4,131
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,3,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,3,121
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,1,132
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,103,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,7,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,36,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,181,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,196,121
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,33,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,5,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,3,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,8,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,19,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,29,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,9,162
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,3,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig mand,1,112
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,12,122
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,10,132
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med over 3 børn,Ægtepar og reg. partnere,2,132
20160331,Bydele,Indre By,Familier med over 3 børn,Ægtepar og reg. partnere,1,132
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,120,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,2,141
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,1,151
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,42,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,234,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,275,121
20160331,Bydele,Indre By,Familier uden børn,Ikke hjemmeboende børn,3,183
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,29,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,16,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,3,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,4,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,14,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,25,132
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,1,152
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,6,162
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,5,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig mand,2,112
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,3,132
20160331,Bydele,Indre By,Familier med 3 børn,Enlig mand,1,112
20160331,Bydele,Indre By,Familier med 3 børn,Enlig kvinde,2,122
20160331,Bydele,Indre By,Familier med over 3 børn,Ægtepar og reg. partnere,1,132
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,54,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,1,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,52,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,200,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,238,121
20160331,Bydele,Indre By,Familier uden børn,Ikke hjemmeboende børn,1,183
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,8,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,6,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,2,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,11,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,16,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,4,162
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,2,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,7,122
20160331,Bydele,Indre By,Familier med 3 børn,Enlig kvinde,5,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,59,131
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,34,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,145,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,198,121
20160331,Bydele,Indre By,Familier uden børn,Ikke hjemmeboende børn,2,183
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,11,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,8,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,2,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,4,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,10,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,7,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier med 2 børn,Enlig mand,1,112
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,6,122
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,1,132
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier med 3 børn,Enlig mand,1,112
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,4,131
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,9,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,65,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,32,121
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,2,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,2,162
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,4,132
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,1,132
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med over 3 børn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,3,131
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,4,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,18,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,20,121
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,2,132
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,1,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,3,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,2,132
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,2,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,50,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,1,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,50,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,200,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,204,121
20160331,Bydele,Indre By,Familier uden børn,Ikke hjemmeboende børn,1,183
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,24,132
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,1,152
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,8,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,3,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,5,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,13,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,22,132
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,1,152
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,3,162
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,2,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig mand,1,112
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,4,122
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,5,132
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,29,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,1,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,24,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,188,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,182,121
20160331,Bydele,Indre By,Familier uden børn,Ikke hjemmeboende børn,1,183
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,13,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,5,162
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,3,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,8,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,11,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,2,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,5,122
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,3,132
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med over 3 børn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier med over 3 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,31,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,1,151
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,34,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,144,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,194,121
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,9,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,10,162
